Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_27_483.jpg;-1.002435;0.1008228;0;2.719771;102.0521;90.50172;359.8192;77.03765;1.065238
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_27_550.jpg;0;0;0;2.711342;102.1028;90.71327;359.8627;77.07025;0.8854405
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_27_616.jpg;-4.020431;0;0;2.701562;102.1415;90.87085;359.8802;76.77789;0.7115737
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_27_683.jpg;-8.010526;0;0;2.686822;102.1834;91.02653;359.8713;76.03008;0.4613003
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_27_750.jpg;-12.00019;0;0;2.672713;102.2468;91.22994;359.8245;74.2326;359.9642
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_27_817.jpg;-15;0;0;2.65612;102.301;91.37858;359.7718;72.369;359.4645
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_27_883.jpg;-15;0;0;2.632969;102.359;91.52586;359.8042;70.38944;358.998
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_27_950.jpg;-15;0;0;2.618317;102.4404;91.72176;0.01889529;67.81728;358.5905
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_28_016.jpg;-11.00923;0;0;2.605948;102.5016;91.86483;0.02648654;66.05602;358.6306
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_28_083.jpg;-7.012484;0;0.1998373;2.591052;102.5643;92.00425;359.9243;64.71164;358.903
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_28_150.jpg;-3.009548;0;0.3999841;2.518495;102.651;92.1798;359.6926;63.87336;359.2421
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_28_216.jpg;0;0;0.5994665;2.42756;102.7117;92.30273;359.3467;63.66685;359.5234
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_28_283.jpg;1.988036;0;0.7996755;2.249676;102.767;92.41605;358.8445;63.61605;359.8518
